book_id,author_id,book_genre,reader_id,num_pages,book_rating,publisher_id,publish_year,book_price,text_lang
1688,111,10,900,349,7,47,2012,149,4
1373,13,6,6003,130,3,39,2011,131,6
1434,82,2,24916,547,4,42,2020,46,2
2666,426,4,13319,485,5,22,2000,23,4
1223,212,7,22703,475,7,11,2000,10,4
2011,84,10,16850,528,5,24,2003,42,4
2742,316,3,17606,247,1,34,2001,178,3
1596,352,3,17896,517,1,12,2009,28,4
164,401,9,9367,107,1,48,2011,141,6
2150,260,2,19551,283,5,37,2000,51,2
2482,105,6,12479,178,8,12,2011,66,5
896,299,7,2728,451,9,12,2013,64,5
2236,364,10,9289,651,1,1,2001,70,4
1445,65,3,25367,653,5,31,2013,151,6
1848,3,10,11811,548,8,33,2001,21,4
2991,184,5,19918,524,4,2,2015,179,7
132,13,4,29420,305,5,48,2005,149,3
1232,105,3,7043,511,6,37,2009,141,7
2389,225,6,3548,235,7,44,2016,19,7
935,343,6,10649,442,1,6,2010,108,3
1836,448,7,18957,437,9,38,2013,80,2
1136,75,7,15877,423,8,32,2019,111,7
315,415,6,12364,665,1,26,2008,52,2
2251,347,6,22507,449,7,31,2013,85,3
1994,183,6,1450,224,10,16,2019,132,4
1467,307,5,4850,292,9,17,2019,100,5
553,306,4,24300,650,3,4,2020,41,7
1647,296,5,29655,127,3,41,2005,172,6
11,78,8,2510,408,6,44,2019,197,5
584,274,6,9560,531,4,35,2012,196,6
441,281,1,3345,643,9,2,2020,130,3
806,59,2,6932,506,1,43,2005,74,5
212,389,1,20682,600,4,46,2006,187,2
232,294,5,26327,176,1,20,2008,116,7
399,157,4,14639,201,3,37,2002,80,5
2982,136,2,2984,490,9,28,2000,58,2
1209,431,8,496,634,5,34,2007,168,4
954,205,5,755,455,10,6,2013,177,6
235,245,9,4243,161,10,50,2007,163,7
1135,430,8,9856,242,1,49,2021,104,6
518,384,1,11427,428,9,28,2002,14,3
1772,119,5,18697,592,3,24,2005,72,7
2951,322,8,4429,554,4,24,2013,43,2
1938,240,8,18503,202,2,50,2002,74,4
2452,287,6,3743,456,1,45,2019,37,4
2026,432,2,24871,506,3,7,2012,142,2
2776,449,6,18850,220,1,48,2005,132,1
1541,398,8,5999,602,4,20,2020,43,1
2419,193,8,11359,308,5,3,2014,123,3
2492,429,2,20091,448,5,40,2002,51,6
1,443,3,27494,185,6,31,2017,130,3
2576,67,9,25101,98,8,6,2005,15,4
368,92,10,1030,576,1,32,2017,22,6
24,103,8,13374,85,3,47,2015,165,2
70,123,4,11988,258,4,30,2006,183,2
1430,419,10,25706,404,10,6,2010,126,2
2206,280,10,27993,127,9,44,2020,137,5
1954,251,6,20994,121,8,16,2014,42,3
2909,345,5,7376,485,3,32,2018,194,5
949,279,2,20203,77,3,10,2009,185,1
827,376,9,8615,190,10,26,2014,140,7
637,141,10,9979,467,2,24,2003,152,2
2242,156,6,26417,314,3,38,2016,139,7
778,356,3,11806,146,1,41,2001,117,2
161,409,2,17399,436,10,22,2004,87,1
965,332,8,12658,404,8,37,2015,187,7
753,85,10,12981,498,6,10,2012,44,2
488,192,10,18585,318,5,9,2013,97,1
2474,365,1,7933,520,4,23,2011,172,4
698,155,6,7674,428,1,2,2016,166,2
1376,209,10,29182,189,7,21,2001,50,1
2647,60,5,13792,343,10,38,2003,134,1
1405,341,1,10611,558,4,18,2009,154,3
2664,444,7,699,225,10,40,2011,172,3
2348,97,2,18328,405,6,35,2018,178,7
953,270,7,21616,699,4,45,2009,9,5
1099,253,6,9932,288,2,47,2020,118,7
2980,134,3,16236,429,2,2,2010,158,7
897,113,4,3964,307,3,28,2001,26,7
311,45,9,17876,515,6,39,2007,61,4
1437,282,1,19441,520,8,42,2016,131,2
686,125,10,16795,478,4,4,2011,180,5
286,258,4,21431,644,6,11,2007,135,3
39,290,1,295,505,10,6,2018,137,1
2949,86,9,17177,246,8,32,2008,11,7
1837,93,9,17921,627,5,34,2018,15,4
1618,188,1,19181,327,9,13,2008,154,5
1814,166,3,3253,162,8,50,2016,48,6
1622,319,1,22396,390,10,23,2010,47,5
1479,347,5,1138,120,4,48,2013,197,4
2767,413,10,23938,247,10,7,2003,76,3
2804,37,3,7032,265,6,23,2017,134,7
167,57,2,23695,99,2,30,2005,128,2
980,115,2,7865,357,5,18,2001,4,5
1115,377,5,3199,671,8,22,2016,12,5
2195,80,4,16844,333,5,37,2001,104,2
357,67,10,26003,636,10,16,2015,159,1
2327,445,4,11229,604,7,48,2013,127,6
2626,123,4,18089,489,2,4,2009,171,3
1040,404,1,7910,242,6,24,2020,111,6
1015,398,6,359,373,8,45,2002,76,4
1419,144,5,25124,269,2,36,2016,185,1
2581,132,6,14010,679,9,48,2008,53,6
2828,102,7,2159,348,3,1,2009,89,3
1412,266,9,5868,475,1,6,2010,16,4
181,281,4,6385,297,1,25,2015,1,2
2408,254,9,25709,298,4,12,2012,76,7
1082,259,9,15334,126,5,19,2009,36,2
2627,115,9,15087,231,7,12,2003,63,4
1849,289,2,8427,546,4,45,2014,7,1
1732,152,9,16628,420,5,43,2002,39,5
1358,70,3,8542,425,3,11,2021,195,3
1156,412,3,28372,90,1,4,2002,81,2
2405,433,3,14908,470,7,11,2004,94,7
455,288,9,6640,566,10,24,2019,55,2
2528,306,9,9835,506,6,24,2007,168,2
597,138,1,14545,594,3,23,2013,197,4
2839,67,9,8661,122,4,48,2001,50,3
184,444,9,9988,553,5,11,2015,133,5
258,304,3,7910,155,2,45,2015,128,2
338,109,6,29618,291,10,4,2010,170,1
1070,122,9,5472,614,8,12,2003,195,7
2603,377,3,11346,125,1,9,2002,63,1
215,372,8,15408,416,9,11,2010,133,4
218,7,5,27347,211,2,39,2000,112,5
57,385,6,22034,162,6,25,2018,61,1
1712,314,8,11472,496,8,24,2019,159,4
7,20,8,1282,174,8,7,2004,176,1
2090,400,2,2889,270,10,44,2006,194,1
782,289,4,4088,208,10,18,2015,130,4
167,106,7,13485,518,5,31,2015,46,1
2777,438,3,11711,541,1,25,2014,140,2
1588,323,10,25164,162,1,38,2003,95,2
2784,279,7,3102,96,7,9,2012,163,6
1714,162,9,3195,81,8,39,2006,149,5
1534,72,9,12667,542,6,13,2013,89,1
1252,72,8,20847,427,4,14,2011,186,4
1218,309,7,27231,573,4,31,2021,85,5
2939,442,7,9680,492,9,9,2002,46,2
2990,257,6,6237,679,8,36,2020,197,3
2954,42,6,1735,541,2,3,2003,2,6
916,34,9,2982,315,7,22,2014,172,6
439,395,7,9708,102,1,45,2013,173,1
2055,67,5,13824,578,2,9,2018,68,7
2820,110,6,16821,410,4,5,2012,58,4
61,217,2,28384,536,3,20,2019,197,4
1940,276,9,4966,567,7,31,2020,131,7
335,322,8,5769,75,1,24,2009,129,3
804,404,6,1731,366,6,16,2005,126,7
595,81,1,13144,686,1,9,2002,27,4
2130,214,8,7461,147,10,11,2010,85,5
2551,59,4,10809,513,1,25,2012,55,6
2640,415,9,19583,271,1,8,2009,121,5
528,116,1,29579,193,1,32,2006,11,5
1286,318,7,11208,631,3,13,2006,59,4
1922,243,1,18273,343,2,16,2010,176,7
2151,309,3,3573,657,1,6,2017,110,4
631,137,6,2925,495,9,50,2000,2,4
509,99,7,21035,382,5,38,2009,7,4
916,18,7,6670,137,6,46,2002,161,5
2342,220,10,15986,574,1,13,2010,88,1
1919,23,8,29263,490,6,36,2003,117,6
1033,179,9,27405,152,5,26,2006,152,3
931,376,9,21068,640,10,4,2021,142,4
2580,341,1,19309,555,3,41,2017,194,5
1532,101,8,6103,658,3,41,2020,173,1
1368,53,2,27989,480,6,36,2011,185,7
1425,243,7,15106,394,3,42,2013,37,7
2709,49,1,8334,690,8,30,2004,106,2
1276,217,7,11796,177,6,6,2017,5,1
2568,46,6,10014,611,9,23,2011,26,7
2426,279,2,21105,188,3,30,2014,113,7
2504,381,4,8380,88,5,50,2002,89,6
2469,276,1,5089,615,6,31,2003,75,4
1829,23,7,29864,99,8,18,2001,146,4
111,399,8,12105,534,10,30,2002,119,3
1329,427,9,8261,80,3,29,2002,6,1
917,179,3,5373,316,9,14,2021,49,4
2315,34,3,29715,173,1,24,2005,90,7
2481,103,1,14297,399,8,39,2002,15,4
1941,138,2,11626,85,1,29,2004,3,6
1333,441,1,29114,444,6,22,2010,14,7
680,412,6,11164,652,6,16,2000,31,5
1034,51,3,14573,240,4,48,2016,64,3
683,99,10,29320,491,2,50,2015,121,7
1865,48,8,11284,360,5,40,2005,171,4
557,74,9,9825,122,6,35,2020,51,7
520,361,10,3768,169,8,19,2009,30,7
777,80,3,17963,156,10,31,2004,187,3
2281,52,8,14535,371,10,40,2013,197,4
1515,99,10,21154,522,2,2,2008,65,4
689,306,1,14042,379,9,25,2009,43,4
1006,312,7,17160,689,10,14,2015,192,5
2621,223,6,20174,687,7,19,2018,194,1
967,6,2,2035,694,5,43,2004,163,2
2191,213,4,8586,559,2,43,2005,33,6
747,199,3,25182,155,4,8,2009,129,6
1349,230,2,5648,459,4,49,2000,45,6
1178,194,6,13049,467,5,34,2012,187,3
1950,247,5,20900,214,2,24,2001,32,4
89,94,4,16513,245,5,4,2014,121,6
2594,36,9,6585,403,3,17,2010,79,2
2347,251,8,22853,170,1,33,2017,136,4
666,235,9,690,669,2,30,2005,108,4
460,327,7,24729,249,6,42,2019,111,2
2642,48,1,4529,510,10,4,2010,59,6
2778,392,2,15018,475,5,12,2005,47,2
1901,69,8,28862,662,4,23,2000,97,7
260,376,6,1965,412,9,40,2020,11,6
1460,116,2,22091,555,1,42,2011,169,7
2541,103,10,17757,597,10,43,2004,106,7
1719,56,10,17333,123,2,46,2021,143,2
42,325,7,1079,593,5,25,2014,188,6
314,184,10,8837,479,3,40,2020,109,7
267,147,7,3757,98,10,26,2005,139,2
1138,263,6,28910,629,6,23,2001,2,5
2334,178,7,8442,439,6,16,2008,26,4
1955,250,10,14586,409,8,50,2013,61,4
2746,69,4,10146,555,9,9,2010,61,4
2408,307,8,19594,264,3,28,2013,2,4
2143,239,7,27408,149,7,7,2020,188,2
120,357,6,17876,171,3,23,2001,169,3
1007,418,2,15131,94,3,45,2008,77,3
989,262,5,24863,139,7,34,2014,62,5
2918,64,8,16151,591,9,47,2019,124,7
832,106,8,20384,566,4,15,2015,150,5
553,298,5,19336,556,4,48,2002,163,6
2838,151,8,19309,674,10,5,2000,197,6
1712,133,10,10100,672,8,38,2010,98,1
1797,201,7,2639,462,10,22,2017,111,3
2162,402,7,27334,136,3,35,2010,155,3
1887,17,9,26999,452,2,27,2008,60,7
661,191,3,28782,592,10,21,2009,34,1
2593,29,1,24346,93,1,40,2003,12,1
1908,169,10,3453,424,1,41,2020,99,1
2016,106,10,548,177,7,25,2016,4,6
2441,395,9,28923,192,1,6,2012,179,3
885,252,3,8504,445,10,44,2006,153,1
1841,252,6,18653,666,2,27,2012,25,1
1779,94,1,18672,216,1,43,2000,96,1
120,175,5,22851,469,6,14,2004,152,4
2451,232,6,14844,557,9,2,2007,53,5
2014,230,8,1260,204,9,49,2005,114,4
1306,339,9,7208,648,10,46,2008,150,1
2256,101,7,2407,322,3,40,2009,50,4
1573,130,8,28173,603,1,19,2002,135,3
2216,105,1,14733,472,1,28,2018,55,6
2129,59,5,7502,140,5,34,2002,171,4
2243,448,6,19483,194,3,15,2006,44,5
1143,290,6,24597,634,1,2,2004,71,3
2991,435,6,4328,128,7,36,2002,157,1
2331,107,6,5404,361,1,13,2006,52,3
1803,403,2,25440,440,6,46,2000,142,6
1031,124,2,7711,280,9,3,2002,54,7
169,88,2,3873,535,6,9,2000,92,1
776,286,3,12489,422,2,39,2001,75,2
647,133,10,8221,434,3,18,2001,18,2
1304,228,6,19078,228,4,30,2009,184,1
544,256,5,21733,302,4,49,2009,145,3
667,216,5,25918,233,9,17,2012,77,1
1467,140,10,6490,297,5,5,2006,32,6
722,72,4,17000,553,10,1,2011,32,7
1600,277,1,1893,639,6,38,2000,147,3
2783,227,6,4894,654,1,17,2009,149,3
1004,31,2,13199,633,1,5,2018,84,4
413,168,2,1669,121,4,45,2002,114,5
2723,246,10,20046,425,3,29,2004,55,3
626,446,3,11085,515,9,13,2017,129,4
485,229,1,17841,532,2,28,2021,55,6
2995,348,3,18510,428,1,15,2016,171,2
965,431,2,23510,244,1,22,2017,90,3
1513,169,6,4495,674,2,25,2003,117,2
2002,408,1,24321,440,5,28,2016,76,6
410,17,1,12276,120,9,16,2009,14,7
953,77,6,3214,536,8,20,2007,67,1
2885,381,8,6682,222,6,12,2020,162,7
2533,355,5,24634,83,1,49,2012,200,6
621,445,8,28924,191,2,42,2011,2,6
753,367,3,18715,646,7,27,2017,17,5
1621,444,4,1637,186,9,1,2011,197,2
425,12,2,16710,289,3,14,2013,162,1
2107,411,7,26942,525,9,43,2021,41,1
1167,361,10,10135,258,4,19,2003,83,2
1508,108,8,12645,286,8,5,2017,113,4
1640,139,6,23337,272,6,35,2005,84,5
1723,219,4,11739,417,1,39,2017,78,4
1343,65,4,15567,79,5,40,2020,15,5
1934,300,5,20351,444,10,10,2018,130,1
2034,136,7,16366,316,2,5,2009,92,2
1092,417,10,4414,224,10,47,2011,62,1
726,41,1,12162,537,8,21,2015,76,2
591,426,2,12582,622,3,7,2008,72,3
1596,388,7,24682,548,1,37,2004,147,4
184,116,6,10988,369,8,45,2017,197,6
2465,400,2,1047,640,9,35,2007,53,4
1468,187,6,20449,199,3,41,2009,96,3
2911,174,3,10189,495,10,40,2009,175,3
1338,294,8,8450,153,10,12,2015,91,7
2809,20,5,6683,343,9,10,2000,77,1
2281,229,8,4658,367,5,32,2015,30,3
1845,407,6,2869,355,3,3,2010,162,3
490,415,9,20726,669,3,32,2005,151,2
2944,122,8,17485,535,4,6,2002,101,3
852,360,3,14860,301,2,19,2012,72,5
742,147,7,26023,519,9,39,2006,80,7
2271,140,9,15527,85,4,41,2021,46,4
725,287,10,17714,260,8,10,2003,85,7
1284,104,8,16542,588,2,50,2013,89,7
561,388,5,12484,132,10,1,2012,162,5
1542,229,10,10572,338,1,41,2013,197,2
2695,33,3,27753,230,5,4,2018,44,4
2148,398,7,7303,601,4,48,2013,24,7
878,231,7,26259,124,4,16,2008,175,7
1699,236,7,5788,514,5,5,2014,64,1
616,214,10,21506,230,5,35,2004,87,6
2654,190,9,18878,496,10,25,2012,104,4
193,205,7,9652,98,8,44,2009,112,5
2989,448,5,27127,585,8,8,2006,195,4
1683,62,4,17761,493,8,36,2006,76,2
1595,79,10,6580,165,10,23,2007,149,2
810,267,2,6611,380,6,27,2020,53,4
98,10,9,8945,597,7,8,2018,136,5
2046,190,8,5752,396,3,41,2016,99,1
2672,62,2,14322,655,8,36,2004,142,7
2548,333,5,6452,298,9,20,2009,66,4
2084,257,10,9120,601,3,41,2005,78,1
601,231,6,5756,81,3,19,2008,48,6
156,341,2,12929,551,5,8,2020,71,6
1988,80,3,21849,602,8,42,2003,94,3
2041,65,9,7984,695,10,8,2005,170,2
520,444,8,10496,327,2,1,2003,163,3
707,80,9,5691,271,3,40,2001,67,3
1990,109,9,851,234,6,24,2008,111,6
474,335,9,7505,422,8,41,2015,128,1
1130,174,8,3423,542,7,20,2012,171,5
2901,205,2,10808,150,8,29,2010,142,2
793,311,9,9837,668,2,13,2011,60,3
2020,267,3,10556,624,4,13,2006,54,6
1664,140,2,29308,419,8,11,2015,126,3
2006,321,6,22388,270,6,31,2006,47,6
829,87,2,3458,429,10,38,2021,1,5
2071,106,4,26805,355,4,38,2018,96,5
235,243,4,17139,535,4,19,2000,173,2
2947,144,3,27389,408,6,33,2019,32,2
2530,334,7,12435,309,4,7,2012,96,1
2240,119,8,25107,287,4,36,2000,81,6
2686,434,8,5560,196,10,14,2018,183,1
1242,4,10,11774,242,9,24,2009,133,3
2067,73,6,7259,324,3,24,2012,12,1
1257,395,4,12576,694,10,15,2010,26,3
1708,304,3,20440,570,3,5,2012,58,3
2816,67,4,10056,607,7,25,2006,97,1
263,281,10,9055,469,1,1,2007,75,4
441,446,4,17436,297,2,4,2015,180,7
1988,368,7,19727,113,4,39,2020,27,4
2212,41,10,6737,575,1,2,2003,175,4
1921,427,1,3225,630,4,11,2008,39,7
1467,193,4,24454,254,4,10,2019,138,7
2164,374,9,5717,251,7,49,2004,144,1
1200,417,6,13963,189,10,39,2015,194,7
1442,421,4,13092,665,1,31,2019,160,7
2741,361,6,22050,328,3,5,2019,113,3
2549,423,1,7512,452,4,24,2004,92,6
753,319,4,10609,310,4,49,2020,78,3
261,248,2,29269,139,3,29,2007,176,6
266,90,9,5484,335,5,45,2019,61,5
1902,202,5,8026,603,9,19,2014,200,7
1832,345,9,12120,207,3,16,2008,57,2
175,58,7,26047,528,9,29,2006,90,6
394,404,8,16751,213,1,44,2004,138,6
2586,373,10,17987,483,6,43,2001,113,1
1180,426,5,22405,614,5,13,2010,104,2
1175,46,4,19698,140,8,43,2021,79,5
1859,232,3,476,474,5,37,2016,189,5
1462,263,4,28048,404,2,9,2017,132,2
2247,242,10,7776,696,6,23,2018,177,3
859,286,3,7082,502,6,24,2008,107,1
1553,25,6,14958,405,5,24,2009,51,2
1581,226,6,16478,524,10,16,2001,80,2
2478,31,10,21011,493,1,38,2007,155,7
961,99,9,24412,578,8,4,2007,9,7
1409,243,7,5186,323,1,3,2001,192,1
2419,296,5,3163,506,5,9,2019,174,4
972,354,8,25880,579,9,21,2000,171,6
7,427,2,25739,319,3,25,2009,88,4
883,51,6,12810,437,3,21,2007,196,1
160,390,9,25761,452,10,39,2008,133,5
86,258,7,29952,334,6,23,2008,135,4
1239,7,8,10801,96,8,4,2009,57,7
2730,103,3,9594,295,7,46,2015,78,2
2443,144,9,7637,686,10,40,2010,103,2
2637,129,6,3726,649,7,11,2011,186,6
256,75,8,26158,462,6,50,2003,41,1
1408,345,9,3756,364,6,47,2009,158,6
952,311,5,17243,287,9,33,2020,16,6
2212,439,5,11080,594,2,31,2005,120,7
2953,295,9,1795,87,9,42,2008,83,2
1843,433,9,27080,456,1,13,2000,130,5
1140,422,4,17171,292,5,16,2000,180,5
1980,180,4,13247,177,1,14,2004,26,3
2333,311,6,22048,679,6,40,2012,29,7
323,129,7,4633,677,3,18,2015,60,7
2178,250,2,23101,151,4,23,2010,116,7
2206,323,4,18429,606,2,5,2002,161,7
2767,313,1,8272,367,3,23,2015,135,7
231,234,3,6086,404,1,30,2000,25,5
2632,353,9,11780,615,6,31,2007,180,2
2382,10,9,3398,471,10,5,2012,47,7
1487,148,2,12419,576,1,29,2019,24,2
2968,244,7,23407,611,6,12,2012,79,7
2625,105,8,10368,161,1,39,2007,78,3
2714,234,9,12473,340,4,44,2012,6,6
2846,95,5,25669,307,5,42,2015,31,1
1681,425,3,15200,369,7,31,2005,189,2
2580,283,8,3903,439,2,15,2000,51,1
1842,297,9,13320,263,9,10,2008,47,3
1507,425,6,4231,689,10,22,2006,65,7
92,346,2,14611,460,3,41,2003,73,4
1,353,3,5250,193,10,11,2014,194,5
1004,174,5,12552,363,9,36,2011,32,1
1217,19,2,29953,363,4,20,2003,66,2
2574,181,5,27742,557,6,49,2005,153,2
2973,406,6,16856,306,3,40,2005,185,4
936,57,3,5580,377,2,42,2014,22,1
2228,387,4,9735,136,7,5,2013,96,6
2182,402,1,23182,170,9,41,2014,145,7
2762,298,6,5303,84,9,8,2012,25,4
830,189,7,6170,450,3,32,2008,193,2
334,362,2,26114,497,3,26,2021,116,3
1525,278,1,19973,539,4,9,2019,49,2
2624,195,4,19782,336,1,28,2003,32,4
2962,325,5,5692,473,9,49,2016,163,2
2279,350,8,1586,139,6,15,2012,161,4
2452,189,7,13004,121,8,25,2005,64,2
1985,437,1,19875,217,2,42,2002,183,2
1611,390,5,23261,654,7,34,2016,49,2
2944,67,6,28217,151,9,37,2010,98,7
2078,353,5,20954,673,4,14,2009,164,6
800,239,7,22605,145,7,2,2002,193,5
904,22,3,3554,449,9,45,2021,49,1
1865,157,7,940,143,3,14,2001,85,7
1681,101,10,8845,277,4,13,2016,116,4
2693,219,7,17288,498,4,41,2011,66,4
1314,217,10,26284,636,4,24,2016,7,6
2616,270,2,10644,402,5,37,2009,199,2
116,172,4,21644,649,2,2,2021,91,6
1152,360,5,17636,502,9,44,2014,4,6
294,6,1,26987,266,8,35,2004,19,5
2277,191,7,26781,639,9,44,2016,166,2
1096,343,1,13271,575,6,25,2015,195,2
1409,297,8,21822,435,7,38,2015,77,6
1479,312,9,26793,138,9,22,2003,127,4
2804,172,7,11551,396,8,3,2004,51,3
674,374,2,3357,580,10,11,2004,70,5
2064,74,1,15365,207,9,7,2012,132,2
1564,183,9,18747,572,1,10,2021,134,4
988,279,2,3930,527,3,2,2012,185,7
110,155,1,6075,248,5,29,2002,48,7
2812,134,10,19906,675,1,34,2013,39,6
1088,418,8,21128,192,1,37,2002,180,7
785,54,5,20932,449,10,1,2013,119,2
943,11,4,12066,649,8,22,2010,188,4
1529,210,10,11548,610,1,15,2000,160,3
2587,224,5,24860,628,2,6,2021,167,6
2122,256,6,24840,553,1,22,2015,69,7
2698,278,1,7172,638,2,29,2007,157,7
2575,267,7,22257,407,10,29,2019,178,2
445,6,7,1908,586,8,21,2012,96,6
611,408,4,6429,614,8,15,2016,101,5
1263,375,10,6162,548,4,5,2015,199,2
1938,70,10,11927,265,6,21,2010,80,2
350,347,4,18740,111,3,42,2011,12,5
1146,353,1,17232,365,9,37,2008,73,3
2075,212,5,14461,271,3,19,2016,149,7
2087,171,5,18917,336,10,26,2018,193,5
1479,39,9,22047,605,6,45,2009,184,1
1805,205,4,11742,263,4,44,2009,33,5
1255,217,5,10866,542,6,49,2010,187,3
2576,409,2,23073,546,2,50,2018,46,4
1948,65,3,19719,366,10,23,2015,97,1
2375,77,2,20740,351,3,18,2015,32,1
763,203,1,23826,589,8,15,2017,102,4
2459,157,6,518,691,1,11,2002,43,6
1046,66,7,8992,614,8,5,2007,73,7
830,338,8,9890,698,10,6,2004,157,3
1489,398,4,10820,334,2,27,2008,138,5
783,125,10,8352,466,7,17,2005,44,5
2043,399,10,1675,311,10,1,2018,143,7
401,66,1,6286,312,10,31,2015,61,5
1541,131,2,29938,584,5,40,2010,15,2
1842,405,7,22487,493,9,45,2011,30,2
2017,252,3,12794,260,2,18,2014,69,7
547,233,1,22248,584,6,39,2013,170,3
2894,144,7,29662,195,1,29,2001,173,3
2841,87,7,20209,96,9,45,2002,2,6
552,150,1,9735,384,4,25,2005,184,1
40,343,2,9477,293,10,29,2007,92,7
1056,364,4,1937,205,5,35,2005,20,6
490,302,2,24466,110,10,16,2019,92,2
2131,188,6,7,110,7,44,2020,194,4
2954,409,9,27465,308,4,49,2012,124,3
263,435,5,22161,340,7,5,2007,48,7
2445,176,2,7769,584,5,18,2005,86,3
864,152,7,20871,415,1,17,2001,15,6
9,106,2,25424,478,5,6,2017,168,2
2440,34,8,18017,481,6,19,2001,101,3
2674,400,7,20363,538,8,8,2005,139,1
2726,76,9,24989,325,9,30,2014,141,2
1555,168,7,1265,627,8,36,2006,83,6
572,65,1,27080,676,2,2,2010,199,4
445,359,7,3578,483,8,47,2018,34,3
818,3,6,20011,526,6,41,2004,25,1
2374,365,8,29052,509,6,41,2000,186,6
2742,267,9,26481,564,5,9,2013,137,2
